67	577	988	977	331
510	721	622	459	271
243	317	316	497	926
54	869	430	849	643
852	774	381	816	673
110	362	318	377	293
449	816	773	558	183
587	403	336	506	329
887	722	254	856	810
730	214	341	804	197
360	961	129	573	668
609	487	948	447	599
906	188	542	689	952
765	579	819	369	257
444	332	184	336	875
29	86	653	532	254
906	802	501	36	905
333	689	128	669	148
461	331	991	193	225
992	687	103	797	127
403	810	673	203	662
582	342	629	128	624
456	515	675	137	433
377	189	197	360	874
876	780	391	454	633
701	761	174	929	721
130	204	984	63	229
867	607	117	284	858
757	877	145	330	676
476	233	56	125	386
720	88	440	711	123
196	39	885	840	680
891	295	97	68	705
872	604	77	923	332
229	132	693	262	653
647	287	753	927	697
700	838	889	275	948
286	288	40	468	919
783	905	622	256	275
7	696	425	285	274
439	217	32	550	531
591	630	463	190	140
223	589	430	607	756
858	433	938	59	446
659	557	617	600	930
278	136	55	902	463
22	782	528	218	807
69	578	562	447	552
521	29	694	936	452
627	936	806	797	911
986	938	873	584	757
798	277	901	273	241
442	764	413	146	463
755	796	105	405	796
851	856	23	252	779
773	171	166	1	857
549	407	39	367	677
371	310	272	117	209
972	941	173	808	18
865	779	733	973	380
84	815	178	965	385
250	524	440	521	652
660	549	912	91	271
317	544	961	911	937
855	625	552	288	20
406	726	955	299	942
886	479	948	450	739
805	233	689	225	564
826	382	768	921	210
345	175	74	889	876
67	534	852	281	723
249	632	304	427	571
140	20	606	431	288
569	645	173	112	831
493	563	474	492	362
801	342	856	287	23
233	981	659	888	484
444	980	455	465	160
641	13	44	322	953
990	170	726	912	717
671	587	13	892	430
420	533	796	64	435
397	719	367	770	556
473	889	394	156	861
675	525	452	36	572
639	26	64	441	769
757	41	270	748	277
554	374	977	937	592
143	519	957	166	936
358	679	326	303	154
617	896	84	881	84
732	140	974	388	552
402	273	625	60	188
607	681	678	73	33
976	452	456	234	771
779	163	243	184	337
130	391	714	108	776
168	921	97	403	754
119	440	524	18	961
28	637	517	28	56
800	228	146	517	546
970	960	713	119	359
335	434	455	90	961
384	78	573	868	181
431	61	817	849	759
366	614	147	620	281
648	501	892	989	435
992	371	602	156	450
521	578	280	928	907
660	583	954	859	399
926	917	267	701	762
145	341	106	803	357
786	78	677	368	395
767	29	179	557	444
335	176	754	35	751
119	352	317	30	569
193	434	843	775	640
969	495	741	81	747
509	964	90	34	139
13	311	780	480	553
42	257	921	612	625
453	735	232	969	144
584	507	559	669	346
835	981	437	394	786
250	281	164	202	13
170	804	212	327	691
168	42	762	791	255
795	465	148	896	235
636	600	282	111	5
85	260	789	89	125
795	806	733	251	562
5	584	469	577	910
77	319	136	482	302
280	37	870	603	50
636	266	589	141	911
397	773	931	543	286
625	370	262	159	658
